,name,description
80,"Kattana
",Desktop-based crypto trading terminal
81,"Magnat
",Public experiment in crypto games area
82,"CoinGenius.ai
",Bringing transparency to crypto through advanced market intelligence
83,"CoinsKat
",Share success and fail stories around crypto
84,"Portfolio.io
",Build a portfolio of crypto in under 60 seconds
85,"Ethx.me
",Simple and free way to share all your crypto wallet address
86,"ETHletter
",Set up price for incoming emails
87,"Tokenary
",A simple and secure wallet for ETH & ERC-20 tokens
88,"Bitcharge
",Easiest way to accept crypto payments in multiple coins
89,"Phrasekeeper
",Backup your crypto wallet passphrase
90,"CryptoBeanie
",Short & Precise Cryptocurrency News
91,"Switcheo Network
",A decentralised Exchange that was initially built on the NEO blockchain
92,"Briqchain
",Makes real estate investing accessible for everyone
93,"Coinlend
","The Lending-Bot for Bitfinex, Poloniex & Quoinex"
94,"Coinvest
",A decentralized investment trading market for cryptocurrencies
95,"VeriFact
",Blockchain based fact checking
96,"Textile Photos
",A digital wallet for your photos
97,"Tenno
",Enabling payment in cryptocurrency on website
98,"Shikari
",Cryptocurrency Calculator
99,"Coingapp
",Crypto Arbitrage Opportunities
100,"Clause
",Digitizes contracts and connects them to software systems
101,"Betoken
",A decentralized crypto hedge fund managed by a true meritocracy
102,"Peeke
",Protecting brands and consumers from counterfeits using the Blockchain
103,"Crypto Traffic Rank
","A list of the 500 most popular bitcoin, ethereum, etc websites ranked"
104,"CBlocks
",A Mystery box for cryptocurrencies
105,"LitePaper
",Duolingo for Blockchain
106,"Tenno wallet
",A secure web based Ethereum and ERC20 wallet
107,"cryptosurance
",Crypto price protection
108,"Developcoins
",Create new cryptocurrency like bitcoin
109,"Skyhitz
",A music video streaming app with a vision to change music discovery
110,"Blocknify for Individuals
",Legally sign PDFs on Smart Contracts without your document being exposed.
111,"ICOAlarm
","ICO discovery, analysis, and alerts platform"
112,"Trustroot
",Protects you from fraud and theft within the cryptocurrency community
113,"Ƙred Coins
","Collectible, personalized coins for sharing and connecting"
114,"Coin Notifier
",Get notified when alt-coins gets listed on exchanges
115,"Edge
",A mobile wallet and security platform for blockchain applications and assets
116,"CryptoCoinResources.com
",A Curated Crytpocurrency Resources Directory
117,"Quanta
",Next generation of hybrid decentralized Crypto exchanges with a focus on security and speed
118,"Blockdata
","Helps you discover, track and understand blockchain projects"
119,"ReferralMagic
",Referral tracking software for SaaS
120,"CoinView
",An all-in-one cryptocurrency management app
121,"feelium coin
",Cryptocurrency in the real world
122,"Stakestrategy
",Profit from those who know more
123,"CryptoSketches
","Like DeviantArt, on the blockchain"
124,"Trastra
",Blockchain banking that combines benefits of Bitcoin & Ethereum w/ older infrastructures
125,"Cryptoboard
",A dashboard with live analysis of cryptocurrencies based on trends
126,"Lumi wallet
","Crypto wallet with private keys on client side - Secure, Simple, Handy"
127,"Coinoxo
",Track cryptocurrency investments and receive price alerts
128,"BlockCrypto
",Blockchain and Crypto Search Engine
129,"TokenTalk
",The social network for Blockchain enthusiasts
130,"Crypterval
",Recurring cryptocurrency trading using your existing exchange
131,"CryptoHodl.in
",Predict Crypto movement based on price correlation
132,"MVP APP
",Jobs + Bitcoin + The Wisdom of the Crowd
133,"Solve.Care
","Global blockchain solution for coordination, administration and payments of healthcare"
134,"CryptoPriceAlerts
",App for Live Cryptocurrency Prices - Trading Alert
135,"Crypto Sportz
",Platform living on the Ethereum network powering wagers between sports fans
136,"All Crypto Jobs
",Every crypto job aggregated to one feed - Updates hourly
137,"BEWA
",Manage your crypto portfolio anywhere
138,"Moonitor
",Cryptocurrency Desktop App
139,"Crypto Critics
",Get real-time buy & sell trading signals for cryptocurrencies.
140,"Bitzbillo
",The Perfect Business Pack For Launching An ICO Platform
141,"10 Days of Bitcoin 💰 👉🏼 ✉️
",💯 free email course to learn the basics and fundamentals of bitcoin
142,"TokenBoom
",Get top ICO AirDrops for free
143,"Oh, My Coins!
",Brings together those who have lost their crypto to share their experience
144,"Recereum
",Blockchain-based platform for turning waste and recyclables to real value
145,"Primas DApp
","Provides an open content publishing, referral and exchange ecosystem"
146,"CryptoProphet
","Receive unusual cryptocurrency price movement alerts, direct on your phone"
147,"Ethx
",Buy and Sell Ether in India
148,"Zimrii Music Platform
",A Blockchain Music Platform which enables musicians to realise more value
149,"Cryptoradar
",A price comparison website for buying cryptocurrencies
150,"Azelo
",The Online Art Revolution
